product_name,total_orders,rank,share_pct,cum_share_pct
Organic Blackberries,61746,41,0.190371428389083,14.94855676622499
100% Whole Wheat Bread,60816,42,0.18750411020811827,15.136060876433108
Organic Italian Parsley Bunch,60621,43,0.1869028983314644,15.322963774764572
Organic Whole String Cheese,59676,44,0.18398933308306475,15.506953107847638
Organic Granny Smith Apple,58779,45,0.18122375845045685,15.688176866298095
Organic Unsweetened Almond Milk,57895,46,0.1784982646096259,15.866675130907721
Raspberries,57640,47,0.17771206446323234,16.044387195370952
Organic Red Bell Pepper,57485,48,0.1772341780997382,16.22162137347069
Spring Water,56087,49,0.17292395141480416,16.394545324885495
Blueberries,55946,50,0.17248922898091595,16.56703455386641
Green Bell Pepper,55484,51,0.1710648193039206,16.738099373170332
Organic Peeled Whole Baby Carrots,55371,52,0.17071642472924423,16.908815797899575
Red Peppers,55280,53,0.17043585918680576,17.07925165708638
Red Vine Tomato,54409,54,0.1677504461377517,17.247002103224133
Organic Ginger Root,52087,55,0.1605914000988269,17.40759350332296
Organic Garnet Sweet Potato (Yam),51939,56,0.16013509570013573,17.567728599023095
Boneless Skinless Chicken Breasts,50281,57,0.15502325317966317,17.72275185220276
Extra Virgin Olive Oil,50255,58,0.1549430915961093,17.87769494379887
Hass Avocados,50221,59,0.1548382649099235,18.03253320870879
Organic Kiwi,50141,60,0.15459161388360396,18.187124822592395
Unsweetened Almondmilk,49569,61,0.1528280590454192,18.339952881637814
Small Hass Avocado,49021,62,0.15113849951513034,18.491091381152945
Organic D'Anjou Pears,48915,63,0.15081168690525693,18.641903068058202
Organic Reduced Fat 2% Milk,47839,64,0.14749423060125905,18.789397298659463
Lime Sparkling Water,46546,65,0.1435077333883694,18.93290503204783
Bunched Cilantro,45530,66,0.14037526535411118,19.073280297401944
Grated Parmesan,45238,67,0.13947498910804484,19.21275528650999
Organic Lacinato (Dinosaur) Kale,43067,68,0.13278149688129817,19.345536783391285
Red Onion,43009,69,0.1326026748872165,19.478139458278502
Sparkling Natural Mineral Water,42934,70,0.13237143955004194,19.610510897828544
Organic Navel Orange,42721,71,0.13171473119246616,19.74222562902101
Jalapeno Peppers,42561,72,0.13122142913982704,19.87344705816084
Broccoli Crown,42044,73,0.12962744688223699,20.003074505043074
Uncured Genoa Salami,41473,74,0.12786697518188123,20.130941480224955
Large Alfresco Eggs,40376,75,0.12448477298347448,20.25542625320843
Roma Tomato,40212,76,0.1239791383795194,20.379405391587948
Organic Grade A Free Range Large Brown Eggs,40045,77,0.12346425436207735,20.502869645950025
"Clementines, Bag",39825,78,0.1227859640396986,20.625655609989725
Orange Bell Pepper,39188,79,0.12082200524262923,20.746477615232354
Grape White/Green Seedless,38971,80,0.12015296433373746,20.866630579566092
Organic Broccoli,38720,81,0.11937909673865989,20.98600967630475
Organic Black Beans,38001,82,0.11716232063961297,21.10317199694436
100% Raw Coconut Water,37973,83,0.11707599278040114,21.22024798972476
Organic Bartlett Pear,37706,84,0.11625279498005965,21.33650078470482
2% Reduced Fat Milk,37091,85,0.11435666521522815,21.45085744992005
Garlic,36617,86,0.11289525788428484,21.563752707804337
Shredded Parmesan,36365,87,0.11211830715137827,21.675871014955714
Granny Smith Apples,36187,88,0.11156950861781728,21.78744052357353
Organic Carrot Bunch,35820,89,0.11043799703457638,21.897878520608106
Soda,35791,90,0.11034858603753554,22.00822710664564
Unsalted Butter,35667,91,0.10996627694674024,22.11819338359238
Organic Reduced Fat Milk,35663,92,0.10995394439542426,22.228147327987806
Whole Milk,35633,93,0.10986145026055444,22.33800877824836
Bartlett Pears,35413,94,0.10918315993817569,22.447191938186535
Organic Romaine Lettuce,34874,95,0.10752134864834775,22.554713286834883
Unsweetened Original Almond Breeze Almond Milk,34583,96,0.1066241555401104,22.661337442374993
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,34209,97,0.10547106199206653,22.76680850436706
Pure Irish Butter,33908,98,0.10454303750553924,22.8713515418726
Organic Broccoli Florets,32887,99,0.10139515378213605,22.972746695654735
Sparkling Lemon Water,32788,100,0.10108992313706561,23.073836618791802
Organic Russet Potato,32534,101,0.10030680612850106,23.174143424920302
Feta Cheese Crumbles,32351,102,0.0997425919057951,23.273886016826097
Organic Large Brown Grade AA Cage Free Eggs,32105,103,0.0989841399998625,23.37287015682596
Organic Baby Broccoli,31792,104,0.09801911785938727,23.470889274685348
Organic Spring Mix,31768,105,0.0979451225514914,23.568834397236838
Organic Whole Strawberries,31445,106,0.09694926903272624,23.665783666269565
Whipped Cream Cheese,31192,107,0.09616923516199068,23.761952901431556
Italian Sparkling Mineral Water,30937,108,0.09538303501559713,23.857335936447154
Vanilla Almond Breeze Almond Milk,30935,109,0.09537686873993914,23.952712805187094
Clementines,30843,110,0.09509322005967166,24.047806025246764
Sharp Cheddar Cheese,30170,111,0.09301826830075849,24.140824293547524
Organic Garbanzo Beans,30055,112,0.09266370745042414,24.233488000997948
Frozen Organic Wild Blueberries,29905,113,0.092201236776075,24.32568923777402
Total 2% with Strawberry Lowfat Greek Strained Yogurt,29893,114,0.09216423912212707,24.41785347689615
Fat Free Milk,29345,115,0.09047467959183818,24.508328156487988
Russet Potato,29313,116,0.09037601918131036,24.598704175669297
Organic Roma Tomato,29296,117,0.09032360583821746,24.689027781507516
Organic Extra Firm Tofu,29124,118,0.08979330613163043,24.778821087639145
Green Beans,29069,119,0.08962373355103576,24.86844482119018
Pure Sparkling Water,28884,120,0.0890533530526718,24.957498174242854
Organic Roasted Turkey Breast,28384,121,0.08751178413817465,25.04500995838103
Organic Milk,27992,122,0.08630319410920888,25.13131315249024
No Salt Added Black Beans,27924,123,0.08609354073683725,25.217406693227076
100% Recycled Paper Towels,27864,124,0.0859085524670976,25.303315245694172
Organic Coconut Milk,27255,125,0.08403092152924006,25.387346167223413
"Organic Red Radish, Bunch",27226,126,0.08394151053219923,25.471287677755612
Total 0% Nonfat Greek Yogurt,26878,127,0.08286857856770921,25.55415625632332
Shredded Mild Cheddar Cheese,26777,128,0.08255718164698078,25.6367134379703
Honey Nut Cheerios,26741,129,0.08244618868513698,25.719159626655436
Ground Turkey Breast,26721,130,0.08238452592855709,25.801544152583993
Organic Sour Cream,26691,131,0.08229203179368727,25.88383618437768
Organic Basil,26668,132,0.0822211196236204,25.966057304001303
Organic Fat Free Milk,26591,133,0.08198371801078784,26.04804102201209
Green Onions,26536,134,0.08181414543019315,26.129855167442283
Total Greek Strained Yogurt,26443,135,0.08152741361209669,26.21138258105438
Unsweetened Vanilla Almond Milk,26307,136,0.08110810686735345,26.292490687921735
Red Raspberries,26220,137,0.08083987387623094,26.373330561797964
Total 0% Greek Yogurt,26154,138,0.08063638677951732,26.45396694857748
Romaine Hearts,25974,139,0.08008142197029834,26.53404837054778
Organic Large Grade AA Brown Eggs,25523,140,0.07869092680942191,26.6127392973572
Yellow Bell Pepper,25459,141,0.07849360598836627,26.69123290334557
Lightly Salted Baked Snap Pea Crisps,24950,142,0.07692428883340817,26.768157192178975
Pineapple Chunks,24950,143,0.07692428883340817,26.845081481012382
Original Orange Juice,24918,144,0.07682562842288035,26.921907109435264
Organic Heavy Whipping Cream,24664,145,0.0760425114143158,26.997949620849578
Watermelon Chunks,24534,146,0.07564170349654653,27.073591324346125
Fresh Ginger Root,24130,147,0.07439611581363283,27.14798744015976
Gala Apples,24086,148,0.07426045774915707,27.222247897908918
Cantaloupe,23900,149,0.07368699411296413,27.295934892021883
Organic Hothouse Cucumbers,23892,150,0.07366232901033218,27.369597221032215
Organic Celery Hearts,23826,151,0.07345884191361855,27.443056062945836
Organic Romaine,23642,152,0.0728915445530836,27.51594760749892
Organic White Onions,23641,153,0.07288846141525461,27.588836068914173
Organic Bell Pepper,23388,154,0.07210842754451904,27.660944496458693
Organic 2% Reduced Fat Milk,23244,155,0.07166445569714386,27.732608952155836
Baby Spinach,23129,156,0.07130989484680952,27.803918847002645
Total 2% All Natural Greek Strained Yogurt with Honey,23034,157,0.07101699675305506,27.8749358437557
Organic Bread with 21 Whole Grains,23006,158,0.07093066889384322,27.945866512649545
Blackberries,22864,159,0.07049286332212602,28.01635937597167
Boneless Skinless Chicken Breast,22590,160,0.06964808355698159,28.086007459528652
Brussels Sprouts,22275,161,0.06867689514084838,28.1546843546695
Shredded Mozzarella,21999,162,0.06782594910004594,28.222510303769546
Organic Diced Tomatoes,21997,163,0.06781978282438796,28.290330086593933
Organic Green Seedless Grapes,21745,164,0.06704283209148139,28.357372918685414
Cherubs Heavenly Salad Tomatoes,21552,165,0.06644778649048548,28.4238207051759
Sour Cream,21540,166,0.06641078883653755,28.490231494012438
Organic Unsalted Butter,21509,167,0.06631521156383872,28.556546705576277
Creamy Almond Butter,21490,168,0.06625663194508784,28.622803337521365
Large Grapefruit,21451,169,0.06613638956975705,28.68893972709112
Organic Bosc Pear,21431,170,0.06607472681317716,28.755014453904298
Organic Spring Mix Salad,21416,171,0.06602847974574226,28.82104293365004
Organic Green Cabbage,21352,172,0.06583115892468662,28.88687409257473
Organic Yellow Peaches,21301,173,0.06567391889540791,28.952548011470135
Peach Pear Flavored Sparkling Water,21233,174,0.0654642655230363,29.018012276993172
Uncured Hickory Smoked Sunday Bacon,20775,175,0.0640521883973569,29.08206446539053
Total 2% Lowfat Greek Strained Yogurt With Blueberry,20758,176,0.06399977505426399,29.146064240444794
Electrolyte Enhanced Water,20735,177,0.06392886288419712,29.20999310332899
Organic Raw Kombucha Gingerade,20707,178,0.06384253502498528,29.273835638353976
Heavy Whipping Cream,20684,179,0.06377162285491841,29.337607261208895
Organic Jalapeno Pepper,20262,180,0.062470538691082815,29.40007779989998
Organic Frozen Peas,20228,181,0.06236571200489701,29.462443511904876
Organic Yams,20217,182,0.062331797488778075,29.524775309393654
Organic Shredded Carrots,20211,183,0.06231329866180411,29.587088608055456
"Milk, Organic, Vitamin D",20198,184,0.06227321787002718,29.649361825925485
Organic Old Fashioned Rolled Oats,20140,185,0.06209439587594551,29.71145622180143
Oven Roasted Turkey Breast,20069,186,0.061875493090086914,29.77333171489152
Creamy Peanut Butter,20033,187,0.06176450012824312,29.835096215019764
Marinara Sauce,19998,188,0.06165659030422832,29.89675280532399
Total 2% Lowfat Greek Strained Yogurt with Peach,19908,189,0.061379107899618826,29.95813191322361
Organic Butternut Squash,19847,190,0.061191036492050176,30.01932294971566
Unsalted Pure Irish Butter,19846,191,0.06118795335422118,30.080510903069882
Organic Mint,19745,192,0.060876556433492754,30.141387459503374
Lemonade,19692,193,0.060713150128556055,30.20210060963193
Organic Leek,19671,194,0.06064840423414718,30.262749013866078
Organic Baby Rainbow Carrots,19639,195,0.060549743823619356,30.323298757689695
"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",19611,196,0.06046341596440752,30.3837621736541
Organic Thyme,19544,197,0.0602568457298649,30.444019019383965
Natural Spring Water,19518,198,0.06017668414631105,30.504195703530275
Sweet Onion,19501,199,0.060124270803218145,30.564319974333493
Organic Egg Whites,19400,200,0.059812873882489716,30.624132848215982
Original No Pulp 100% Florida Orange Juice,19345,201,0.05964330130189503,30.68377614951788
Organic Large Green Asparagus,19286,202,0.05946139616998437,30.74323754568786
Icelandic Style Skyr Blueberry Non-fat Yogurt,19257,203,0.05937198517294353,30.802609530860806
Salted Butter,19163,204,0.05908217021701807,30.861691701077824
White Corn,18906,205,0.058289803794966524,30.91998150487279
Chicken & Maple Breakfast Sausage,18602,206,0.05735252989495225,30.977334034767743
Organic Banana,18583,207,0.057293950276201364,31.034627985043944
Organic Shredded Mozzarella,18449,208,0.05688080980711612,31.09150879485106
European Cucumber,18413,209,0.056769816845272325,31.14827861169633
Organic Mexican Blend Finely Shredded Cheese,18367,210,0.056627992505138586,31.20490660420147
Organic Baby Kale,18358,211,0.05660024426467764,31.261506848466148
Organic Broccoli Crowns,18341,212,0.05654783092158474,31.318054679387732
Fridge Pack Cola,18269,213,0.05632584499789715,31.37438052438563
Sustainably Soft Bath Tissue,18231,214,0.05620868576039536,31.430589210146024
Pure Coconut Water,18183,215,0.056060695144603635,31.486649905290626
Sparkling Mineral Water,18161,216,0.05599286611236576,31.542642771402992
Vanilla Skyr Nonfat Yogurt,18142,217,0.05593428649361487,31.598577057896605
Total 2% Greek Strained Yogurt with Cherry 5.3 oz,18044,218,0.055632138986373425,31.654209196882977
Organic American Cheese Singles,18040,219,0.05561980643505745,31.709829003318035
Organic Creamy Peanut Butter,18040,220,0.05561980643505745,31.765448809753092
Guacamole,17960,221,0.055373155408737905,31.82082196516183
Ezekiel 4:9 Bread Organic Sprouted Whole Grain,17789,222,0.054845938839979874,31.87566790400181
Organic Low Sodium Chicken Broth,17716,223,0.05462086977846329,31.930288773780273
Mango Chunks,17699,224,0.05456845643537039,31.984857230215642
Organic Baby Spinach Salad,17672,225,0.05448521171398754,32.03934244192963
Organic Tomato Paste,17629,226,0.054352636787340786,32.09369507871697
Hass Avocado,17565,227,0.054155315966285145,32.14785039468325
Organic Snipped Green Beans,17423,228,0.05371751039456796,32.20156790507782
Macaroni & Cheese,17420,229,0.053708260981080974,32.255276166058906
Sparkling Water Berry,17411,230,0.05368051274062002,32.308956678799525
Shallot,17401,231,0.05364968136233008,32.362606360161855
Roasted Turkey Breast,17332,232,0.05343694485212947,32.416043305013986
Reduced Fat 2% Milk,17320,233,0.053399947198181544,32.469443252212166
Globe Eggplant,17257,234,0.0532057095149549,32.52264896172712
Organic Beef Hot Dogs,17140,235,0.05284498238896256,32.57549394411608
Roasted Red Pepper Hummus,17038,236,0.05253050233040514,32.62802444644649
Orange Juice,16987,237,0.05237326230112643,32.68039770874761
Original Veggie Straws,16850,238,0.051950872418554214,32.732348581166164
Spinach,16829,239,0.05188612652414533,32.78423470769031
Organic Tomato Basil Pasta Sauce,16824,240,0.05187071083500036,32.83610541852531
Air Chilled Organic Boneless Skinless Chicken Breasts,16816,241,0.0518460457323684,32.887951464257675
Trilogy Kombucha Drink,16791,242,0.05176896728664355,32.939720431544316
Total 2% All Natural Plain Greek Yogurt,16636,243,0.05129108092314943,32.991011512467466
Sea Salt Pita Chips,16626,244,0.051260249544859485,33.04227176201233
Asparation/Broccolini/Baby Broccoli,16535,245,0.050979684002421005,33.09325144601475
Lemon Hummus,16439,246,0.05068370277083755,33.14393514878559
Non Fat Raspberry Yogurt,16377,247,0.0504925482254399,33.19442769701103
2% Reduced Fat Organic Milk,16356,248,0.05042780233103102,33.24485549934206
Sourdough Bread,16318,249,0.050310643093529235,33.29516614243559
Total 2% Lowfat Plain Greek Yogurt,16246,250,0.05008865716984165,33.345254799605435
White Onion,16155,251,0.04980809162740316,33.39506289123284
Organic AppleApple,16129,252,0.04972793004384931,33.44479082127669
Organic Dill,15954,253,0.0491883809237753,33.493979202200464
Organic Unsweetened Vanilla Almond Milk,15935,254,0.049129801305024416,33.543109003505485
Distilled Water,15871,255,0.048932480483968775,33.592041483989455
Pretzel Crisps Original Deli Style Pretzel Crackers,15831,256,0.048809154970809,33.640850638960266
Spaghetti,15813,257,0.04875365848988711,33.68960429745015
Sinfully Sweet Campari Tomatoes,15774,258,0.04863341611455633,33.73823771356471
XL Emerald White Seedless Grapes,15740,259,0.048528589428370524,33.78676630299308
Organic Grade A Large Brown Eggs,15703,260,0.048414513328697735,33.835180816321774
Basil Pesto,15638,261,0.0482141093698131,33.88339492569159
Organic Whole Grassmilk Milk,15459,262,0.04766222769842312,33.931057153390014
Frozen Broccoli Florets,15458,263,0.04765914456059413,33.97871629795061
Raisin Bran Cereal,15415,264,0.04752656963394737,34.02624286758456
Mini Original Babybel Cheese,15377,265,0.047409410396445584,34.073652277981004
Vine Ripe Tomatoes,15367,266,0.04737857901815564,34.12103085699916
Organic Ketchup,15304,267,0.047184341334929,34.16821519833409
Organic Turkey Bacon,15302,268,0.047178175059271014,34.21539337339336
Large Yellow Flesh Nectarine,15301,269,0.047175091921442015,34.2625684653148
Super Greens Salad,15298,270,0.04716584250795503,34.30973430782276
Whole Milk Plain Yogurt,15267,271,0.04707026523525621,34.356804573058014
Strawberry Preserves,15253,272,0.04702710130565029,34.403831674363666
Organic Red Cabbage,15055,273,0.046416640015509415,34.450248314379174
Organic Salted Butter,15035,274,0.04635497725892953,34.4966032916381
Original Nooks & Crannies English Muffins,14973,275,0.04616382271353188,34.54276711435163
Grapefruit Sparkling Water,14928,276,0.04602508151122714,34.58879219586286
Corn Tortillas,14905,277,0.04595416934116027,34.634746365204016
Organic Lowfat 1% Milk,14869,278,0.04584317637931647,34.68058954158333
Sea Salt & Vinegar Potato Chips,14800,279,0.045630439869115864,34.726219981452445
Original Pure Creamy Almond Milk,14712,280,0.04535912374016437,34.77157910519261
Tilapia Filet,14707,281,0.045343708051019394,34.81692281324363
Organic Rainbow Carrots,14687,282,0.04528204529443951,34.86220485853807
Organic Medium Salsa,14678,283,0.04525429705397856,34.90745915559205
Mild Salsa,14664,284,0.04521113312437264,34.952670288716426
Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt,14621,285,0.04507855819772588,34.99774884691415
Bing Cherries,14618,286,0.0450693087842389,35.04281815569839
Natural Chicken & Sage Breakfast Sausage,14577,287,0.044942900133250134,35.08776105583164
"Super Spinach! Baby Spinach, Baby Bok Choy, Sweet Baby Kale",14572,288,0.04492748444410516,35.132688540275744
Total 0% Nonfat Plain Greek Yogurt,14549,289,0.044856572274038296,35.17754511254978
Organic Iceberg Lettuce,14476,290,0.044631503212521705,35.2221766157623
Orange Sparkling Water,14439,291,0.044517427112848916,35.26669404287515
Organic Bunch Beets,14433,292,0.044498928285874956,35.31119297116103
Baby Cucumbers,14399,293,0.044394101599689144,35.35558707276071
Organic Cheese Frozen Pizza,14313,294,0.04412895174639563,35.39971602450711
Skim Milk,14289,295,0.04405495643849977,35.44377098094561
Organic Brown Rice,14276,296,0.044014875646722844,35.48778585659233
Organic Large Brown Eggs,14255,297,0.043950129752313966,35.53173598634464
1% Lowfat Milk,14231,298,0.043876134444418104,35.57561212078906
Berry Medley,14227,299,0.04386380189310212,35.61947592268216
Chocolate Chip Cookies,14148,300,0.043620234004611576,35.66309615668678
Sugar Snap Peas,14120,301,0.04353390614539973,35.706630062832176
Organic Green Leaf Lettuce,14016,302,0.043213259811184325,35.74984332264336
Seedless Small Watermelon,13996,303,0.04315159705460444,35.79299491969796
Organic Large Grade A Brown Eggs,13881,304,0.04279703620427009,35.83579195590223
Honeycrisp Apples,13880,305,0.0427939530664411,35.878585908968674
Plain Greek Yogurt,13861,306,0.042735373447690204,35.921321282416365
Diced Tomatoes,13852,307,0.042707625207229254,35.96402890762359
Organic Red Delicious Apple,13833,308,0.04264904558847836,36.00667795321207
Organic Tortilla Chips,13776,309,0.042473306732225685,36.049151259944296
Organic Plain Whole Milk Yogurt,13732,310,0.04233764866774994,36.09148890861204
Natural Artesian Water,13727,311,0.04232223297860497,36.13381114159065
Gluten Free Whole Grain Bread,13715,312,0.042285235324657035,36.176096376915304
Organic Whole Grain Wheat English Muffins,13692,313,0.042214323154590165,36.21831070006989
Baked Aged White Cheddar Rice and Corn Puffs,13691,314,0.04221124001676117,36.260521940086655
Organic Spaghetti Squash,13637,315,0.042044750573995475,36.30256669066065
Organic Tomato Sauce,13597,316,0.0419214250608357,36.34448811572148
Organic Extra Large Grade AA Brown Eggs,13587,317,0.04189059368254576,36.38637870940403
Uncured Slow Cooked Ham,13571,318,0.04184126347728185,36.42821997288131
Seedless Cucumbers,13571,319,0.04184126347728185,36.47006123635859
Organic Whole Milk with DHA Omega-3,13528,320,0.041708688550635094,36.511769924909224
Black Beans,13525,321,0.04169943913714812,36.55346936404637
Water,13494,322,0.04160386186444929,36.595073225910824
Goat Cheese Crumbles,13450,323,0.04146820379997354,36.636541429710796
2% Reduced Fat DHA Omega-3 Reduced Fat Milk,13397,324,0.04130479749503684,36.67784622720583
"Flat Parsley, Bunch",13378,325,0.04124621787628595,36.71909244508212
Organic Bunny Fruit Snacks Berry Patch,13372,326,0.04122771904931198,36.76032016413143
Packaged Grape Tomatoes,13355,327,0.04117530570621908,36.80149546983765
Light Brown Sugar,13354,328,0.041172222568390086,36.84266769240604
Organic Original Hommus,13340,329,0.04112905863878417,36.88379675104482
Chocolate Ice Cream,13273,330,0.04092248840424155,36.92471923944906
0% Greek Strained Yogurt,13238,331,0.040814578580226746,36.965533818029286
Organic Extra Virgin Olive Oil,13216,332,0.04074674954798887,37.00628056757728
Organic Nectarine,13101,333,0.04039218869765453,37.04667275627493
Sea Salt Potato Chips,13086,334,0.04034594163021961,37.08701869790515
Organic Blue Corn Tortilla Chips,13040,335,0.04020411729008587,37.12722281519524
Tomato Ketchup,13039,336,0.04020103415225688,37.16742384934749
Celery Hearts,13039,337,0.04020103415225688,37.20762488349975
English Seedless Cucumber,13034,338,0.0401856184631119,37.24781050196286
Organic Chicken & Apple Sausage,12992,339,0.040056126674294146,37.287866628637154
Tomato Sauce,12906,340,0.039790976821000634,37.32765760545816
Almonds & Sea Salt in Dark Chocolate,12905,341,0.03978789368317164,37.367445499141326
Organic Free Range Chicken Broth,12849,342,0.03961523796474796,37.40706073710607
Organic Cripps Pink Apples,12834,343,0.03956899089731304,37.44662972800339
100 Calorie  Per Bag Popcorn,12822,344,0.03953199324336511,37.48616172124675
Organic Whole Cashews,12816,345,0.03951349441639115,37.52567521566314
Toasted Coconut Almondmilk Blend,12749,346,0.03930692418184852,37.56498213984499
Organic Whole Kernel Sweet Corn No Salt Added,12738,347,0.03927300966572959,37.60425514951072
"Organic Milk Reduced Fat, 2% Milkfat",12737,348,0.039269926527900595,37.64352507603862
Potato Yukon Gold Organic,12709,349,0.03918359866868875,37.68270867470731
Organic Good Seed Bread,12705,350,0.039171266117372774,37.72187994082468
Iceberg Lettuce,12698,351,0.039149684152569815,37.76102962497725
Organic Whipped Naturally Buttery Spread,12648,352,0.0389955272611201,37.80002515223837
Apples,12575,353,0.038770458199603515,37.83879561043797
Organic Summer Strawberry Bunny Fruit Snacks,12568,354,0.038748876234800556,37.87754448667277
Ginger Ale,12536,355,0.038650215824272735,37.91619470249704
Organic Romaine Hearts,12495,356,0.03852380717328397,37.95471850967032
Organic Cauliflower,12492,357,0.03851455775979699,37.99323306743012
Whole Almonds,12474,358,0.038459061278875085,38.031692128709
Grade A Large White Eggs,12441,359,0.03835731773051828,38.07004944643951
Green Seedless Grapes,12437,360,0.0383449851792023,38.10839443161871
Organic Thompson Seedless Raisins,12430,361,0.03832340321439934,38.14671783483311
"Cage Free Brown Eggs-Large, Grade A",12424,362,0.03830490438742537,38.185022739220535
Organic Sunday Bacon,12391,363,0.03820316083906856,38.2232259000596
I Heart Baby Kale,12361,364,0.03811066670419873,38.2613365667638
Sparkling Water,12321,365,0.037987341191038956,38.29932390795484
Italian Extra Virgin Olive Oil,12318,366,0.03797809177755197,38.3373019997324
Crackers Cheddar Bunnies Snack Packs,12315,367,0.037968842364064996,38.37527084209646
Organic Beef Uncured Hot Dogs,12230,368,0.03770677564860048,38.412977617745064
Classic Hummus,12196,369,0.03760194896241467,38.450579566707475
Colby Cheese Sticks,12191,370,0.0375865332732697,38.488166099980745
Cereal,12184,371,0.03756495130846674,38.52573105128921
YoKids Blueberry & Strawberry/Vanilla Yogurt,12179,372,0.03754953561932176,38.56328058690853
Total 0% Raspberry Yogurt,12153,373,0.037469374035767916,38.6007499609443
Kale Greens,12141,374,0.03743237638181998,38.63818233732612
"Organic Butterhead (Boston, Butter, Bibb) Lettuce",12137,375,0.037420043830504006,38.67560238115662
"Yogurt, Strained Low-Fat, Coconut",12123,376,0.03737687990089809,38.71297926105752
85% Lean Ground Beef,12123,377,0.03737687990089809,38.75035614095842
Organic 1% Low Fat Milk,12121,378,0.037370713625240096,38.78772685458366
Vanilla Ice Cream,12117,379,0.03735838107392412,38.82508523565758
Cinnamon Rolls with Icing,12102,380,0.0373121340064892,38.86239736966407
Trail Mix,12068,381,0.0372073073203034,38.899604676984374
Organic Roasted Sliced Chicken Breast,12056,382,0.03717030966635546,38.93677498665073
Original Hot Sauce,12048,383,0.03714564456372351,38.973920631214455
Cream Cheese Spread,11975,384,0.036920575502206926,39.01084120671666
Hint Of Sea Salt Almond Nut Thins,11945,385,0.0368280813673371,39.047669288084
Organic Fresh Basil,11930,386,0.03678183429990218,39.0844511223839
Organic Chopped Spinach,11925,387,0.03676641861075721,39.121217540994664
Natural Premium Coconut Water,11908,388,0.03671400526766431,39.157931546262326
Crushed Tomatoes,11872,389,0.03660301230582051,39.194534558568144
Organic Spinach Bunch,11843,390,0.036513601308779675,39.23104815987692
Kids Organic Chocolate Chip ZBars,11798,391,0.036374860106474935,39.2674230199834
Organic Uncured Sliced Black Forest Ham,11747,392,0.03621762007719622,39.30364064006059
Organic 21 Grain Thin Sliced Bread,11736,393,0.036183705561077285,39.33982434562167
Organic Honey Sweet Whole Wheat Bread,11705,394,0.03608812828837846,39.37591247391005
Organic Vegetable Broth,11703,395,0.03608196201272047,39.41199443592277
Oven Roasted Turkey,11684,396,0.03602338239396958,39.44801781831674
Organic Apple Juice,11666,397,0.035967885913047684,39.48398570422979
Large Brown Eggs,11655,398,0.03593397139692874,39.51991967562672
Organic Vanilla Almond Milk,11621,399,0.03582914471074294,39.55574882033746
